walkscore,bikescore,transitscore,near_schools,es,ms,hs,public_school,charter_school,anc_id,nbh_cluster,nbh_cluster_names,smd_id,ward_name,census_tract,comp_plan_area,objectid,crimeid,reportdate,fromdate,todate,address,latitude,longitude,bicycle_injuries,vehicle_injuries,pedestrian_injuries,total_injuries,total_major_injuries,total_minor_injuries,bicycle_fatalities,pedestrian_fatalities,vehicle_fatalities,drivers_impaired,drivers_speeding,total_vehicles,total_bicyclists,total_pedestrians,drivers_over_65,drivers_under_25,peds_over_65,peds_under_12,bikers_over_65,bikers_under_18,oos_vehicles,num_cars,num_suvs_or_trucks,driver_tickets,bicycle_tickets,ped_tickets,persontype_array,invehicletype_array,licenseplatestate_array,intapproachdirection,locationerror,lastupdatedate,blockkey,subblockkey,geography,pp_agency_incident_id,pp_total_injuries,pp_total_minor_injuries,pp_total_major_injuries,pp_call_time_rank,distance_to_nearest_block,aadt,totaltravellanes,totalcrosssectionwidth,totalparkinglanes,doubleyellow_line,summarydirection,num_sides_w_sidewalks,sidewalk_width,speed_limit,dcfunctionalclass,nhstype,routename,block_objectid,dcfunctionalclass_desc,distance_to_nearest_intersection,intersectionid,intersection_type,int_road_types,int_road_block_ids,street_names
4.00,19.00,42.00,[None],,,,,,3F,Cluster 41,Rock Creek Park,3F03,Ward 3,001301,ROCK CREEK WEST,197176460,27281839,2017-04-18 22:20:52+00:00,2017-04-18 04:00:00+00:00,,"MILITARY ROAD NW & BEACH DRIVE NW
",38.960579,-77.045158,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,['Driver'],['Passenger Car/automobile'],['DC'],Southwest,,,58b249d6afd8fcab83666d2e352e75ee,a47a6b790ebc297b38109a05fdb50a87,0101000020E61000003AD36EE8E34253C0334C787FF47A4340,,,,,1,0.00047191,25866.0,4,52,0,,BD,0,,35.0,14.0,NHS Non-Interstate,MILITARY RD NW,124978,Principal Arterial,,,,,,
4.00,19.00,42.00,[None],,,,,,3F,Cluster 41,Rock Creek Park,3F03,Ward 3,001301,ROCK CREEK WEST,197182233,25317277,2015-07-27 05:00:00+00:00,2015-07-27 04:00:00+00:00,,MILITARY RD NW and  ROSS DR NW,38.960675,-77.044837,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,"['Driver', 'Driver']","['Pickup Truck', 'Passenger Car/automobile']","['DC', 'MD']",Southwest,,,58b249d6afd8fcab83666d2e352e75ee,a47a6b790ebc297b38109a05fdb50a87,0101000020E6100000F39A7FA5DE4253C09C1EA7A6F77A4340,,,,,1,0.00051457,25866.0,4,52,0,,BD,0,,35.0,14.0,NHS Non-Interstate,MILITARY RD NW,124978,Principal Arterial,0.01000949,-424,RAMP,['Principal Arterial'],['124978'],['MILITARY ROAD NW']
4.00,19.00,42.00,[None],,,,,,3F,Cluster 41,Rock Creek Park,3F03,Ward 3,001301,ROCK CREEK WEST,197319023,25308338,2015-07-09 05:00:00+00:00,2015-07-10 04:00:00+00:00,,ROCK CREEK PARKWAY/ VIRGINIA AVE NW,38.958062,-77.050787,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,"['Driver', 'Driver']","['Passenger Car/automobile', 'Suv (sport Utility Vehicle)']","['VA', 'MD']",Unknown,Crash point too far away from centerline,,Unknown,Unknown,0101000020E6100000173ACB21404353C07228F907A27A4340,,,,,1,,,,,,,,0,,,,,,,,,,,,,
4.00,19.00,42.00,[None],,,,,,3F,Cluster 41,Rock Creek Park,3F03,Ward 3,001301,ROCK CREEK WEST,197377341,27026498,2016-08-07 08:42:32+00:00,2016-08-07 04:00:00+00:00,,MILITARY RD @ OREGON AVE NW,38.961603,-77.052683,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,"['Passenger', 'Driver', 'Passenger', 'Passenger']","['Passenger Car/automobile', 'Passenger Car/automobile', 'Passenger Car/automobile', 'Passenger Car/automobile']","['DC', 'DC', 'DC', 'DC']",West,,,58b249d6afd8fcab83666d2e352e75ee,9c266bf9f2e2f8717613dc4ebb3d46de,0101000020E6100000E7125022074353C0171A437EEE7A4340,,,,,1,0.00044486,25866.0,4,52,0,,BD,0,,35.0,14.0,NHS Non-Interstate,MILITARY RD NW,124978,Principal Arterial,,,,,,
4.00,19.00,42.00,[None],,,,,,3F,Cluster 41,Rock Creek Park,3G02,Ward 4,001301,ROCK CREEK WEST,197370184,28693674,2021-02-24 15:23:14+00:00,2021-02-24 05:00:00+00:00,,BEACH DR & MILITARY RD,38.960631,-77.045283,0,2,0,2,0,2,0,0,0,0,0,4,0,0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,"['Driver', 'Driver', 'Driver', 'Driver']","['Passenger Car/automobile', 'Passenger Car/automobile', 'Passenger Car/automobile', 'Passenger Car/automobile']","['MD', 'MD', 'DC', 'DC']",East,,,7fbb82d454542394e67848a25a664ee2,a47a6b790ebc297b38109a05fdb50a87,0101000020E61000004F954F85E54253C0542DD9ACF37A4340,,,,,1,9.76e-06,25866.0,4,52,0,,BD,0,,35.0,14.0,NHS Non-Interstate,MILITARY RD NW,124978,Principal Arterial,,,,,,
4.00,19.00,42.00,[None],,,,,,3G,Cluster 10,"Hawthorne, Barnaby Woods, Chevy Chase",3G02,Ward 4,001301,ROCK CREEK WEST,197155449,26876810,2016-03-10 23:08:15+00:00,2016-03-10 05:00:00+00:00,,"MILITARY ROAD NW & OREGON AVENUE NW
",38.961603,-77.052683,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,"['Driver', 'Driver']","['Passenger Car/automobile', 'Passenger Car/automobile']","['MD', 'NY']",Northeast,,,58b249d6afd8fcab83666d2e352e75ee,9c266bf9f2e2f8717613dc4ebb3d46de,0101000020E61000008408D4315F4353C0C1C7FD0E167B4340,,,,,1,1.53e-06,25866.0,4,52,0,,BD,0,,35.0,14.0,NHS Non-Interstate,MILITARY RD NW,124978,Principal Arterial,0.03551062,19236,REGULAR,"['Collector', 'Local', 'Principal Arterial']","['124978', '125628', '127348', '127358']","['GLOVER ROAD NW', 'MILITARY ROAD NW', 'OREGON AVENUE NW']"
4.00,19.00,42.00,[None],,,,,,3G,Cluster 10,"Hawthorne, Barnaby Woods, Chevy Chase",3G02,Ward 4,001301,ROCK CREEK WEST,197159319,25305111,2015-07-06 05:00:00+00:00,2015-07-06 04:00:00+00:00,,MILITARY RD NW and  OREGON AVE NW,38.961603,-77.052683,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,"['Driver', 'Driver']","['Passenger Car/automobile', 'Passenger Car/automobile']","['DC', 'DC']",Northeast,,,58b249d6afd8fcab83666d2e352e75ee,9c266bf9f2e2f8717613dc4ebb3d46de,0101000020E61000008408D4315F4353C0C1C7FD0E167B4340,,,,,1,1.53e-06,25866.0,4,52,0,,BD,0,,35.0,14.0,NHS Non-Interstate,MILITARY RD NW,124978,Principal Arterial,0.03551062,19236,REGULAR,"['Collector', 'Local', 'Principal Arterial']","['124978', '125628', '127348', '127358']","['GLOVER ROAD NW', 'MILITARY ROAD NW', 'OREGON AVENUE NW']"
4.00,19.00,42.00,[None],,,,,,3G,Cluster 10,"Hawthorne, Barnaby Woods, Chevy Chase",3G02,Ward 4,001301,ROCK CREEK WEST,197161468,28059858,2019-06-01 20:00:25+00:00,2019-06-01 04:00:00+00:00,,OREGON AVENUE NW & MILITARY ROAD NW,38.961603,-77.052683,0,3,0,3,0,3,0,0,0,0,0,2,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,"['Driver', 'Passenger', 'Driver', 'Passenger']","['Passenger Car/automobile', 'Passenger Car/automobile', 'Passenger Car/automobile', 'Passenger Car/automobile']","['DC', 'DC', 'DC', 'DC']",Northeast,,,58b249d6afd8fcab83666d2e352e75ee,9c266bf9f2e2f8717613dc4ebb3d46de,0101000020E61000008408D4315F4353C0C1C7FD0E167B4340,,,,,1,1.53e-06,25866.0,4,52,0,,BD,0,,35.0,14.0,NHS Non-Interstate,MILITARY RD NW,124978,Principal Arterial,0.03551062,19236,REGULAR,"['Collector', 'Local', 'Principal Arterial']","['124978', '125628', '127348', '127358']","['GLOVER ROAD NW', 'MILITARY ROAD NW', 'OREGON AVENUE NW']"
4.00,19.00,42.00,[None],,,,,,3G,Cluster 10,"Hawthorne, Barnaby Woods, Chevy Chase",3G02,Ward 4,001301,ROCK CREEK WEST,197210205,26759345,2015-11-16 14:31:17+00:00,2015-11-12 05:00:00+00:00,,"OREGON AVENUE NW & MILITARY ROAD NW
",38.961603,-77.052683,0,1,0,1,0,1,0,0,0,0,0,3,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,"['Driver', 'Driver', 'Driver']","['None', 'Passenger Car/automobile', 'Passenger Car/automobile']","[' None', 'Un', 'DC']",Northeast,,,58b249d6afd8fcab83666d2e352e75ee,9c266bf9f2e2f8717613dc4ebb3d46de,0101000020E61000008408D4315F4353C0C1C7FD0E167B4340,,,,,1,1.53e-06,25866.0,4,52,0,,BD,0,,35.0,14.0,NHS Non-Interstate,MILITARY RD NW,124978,Principal Arterial,0.03551062,19236,REGULAR,"['Collector', 'Local', 'Principal Arterial']","['124978', '125628', '127348', '127358']","['GLOVER ROAD NW', 'MILITARY ROAD NW', 'OREGON AVENUE NW']"
4.00,19.00,42.00,[None],,,,,,3G,Cluster 10,"Hawthorne, Barnaby Woods, Chevy Chase",3G02,Ward 4,001301,ROCK CREEK WEST,197224656,25209309,2015-01-08 05:00:00+00:00,2015-01-08 05:00:00+00:00,,GLOVER RD NW and  MILITARY RD NW,38.961603,-77.052683,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,"['Driver', 'Driver']","['Passenger Car/automobile', 'Pickup Truck']","['MD', 'MD']",Northeast,,,58b249d6afd8fcab83666d2e352e75ee,9c266bf9f2e2f8717613dc4ebb3d46de,0101000020E61000008408D4315F4353C0C1C7FD0E167B4340,,,,,1,1.53e-06,25866.0,4,52,0,,BD,0,,35.0,14.0,NHS Non-Interstate,MILITARY RD NW,124978,Principal Arterial,0.03551062,19236,REGULAR,"['Collector', 'Local', 'Principal Arterial']","['124978', '125628', '127348', '127358']","['GLOVER ROAD NW', 'MILITARY ROAD NW', 'OREGON AVENUE NW']"
